Topic,Content
sports,manchester united premier league club owe almost £bn reveal new figuresby simon stonebbc sportlast updated march march section man utdmanchester united fan protested club owner glazer family considering selling invited bidsmanchester united owe £m combination gross debt bank borrowing outstanding transfer fee associated payment according new figuresthe club released second quarter result december thursdayunlike previous year investor call afterwards result ongoing strategic reviewthis could lead sale premier league clubthe review centred meet club longterm capital investment need specifically improvement old trafford club carrington training ground stressed due issue shortterm liquiditynevertheless amount owed club grownwhile principal debt remains change exchange rate meant club owed £m compared £m point previous yearin addition £m taken rolling credit facility another £m owed outstanding transfer fee club £m cash equivalent overall sum remains short £bnbbc sport told figure evidence stretched financial situation although stressed already changed better due bumper matchday revenue impressive season ticket sale expect continueindeed posting profit £m quarter united also revealed sponsorship revenue increased £m prior quarter club said due impact training kit agreement tezos plus oneoff sponsorship credit opted detailwages £m £m decrease erik ten hag team season champion leaguewill man utd build new stadiumpremier league tightens ownership rule stop human right abuser running clublatest manchester united news analysis fan viewsget man utd news notificationslisten latest devil advocate podcastour coverage manchester united bigger better ever here everything need know make sure never miss momenteverything united go straight best content
sports,felix jones england recruit exireland fullback assistant coachlast updated march march section rugby unionfelix jones joined south africa defence consultant former ireland fullback felix jones leave south africa coaching setup join england assistant coach world cupjones joined springbok defence consultant helped side win world cup japanhe continued based uk south africa director rugby rassie erasmus understands jones decision closer familyits big loss lose coach felixs calibre said erasmus central contract good idea browndupont win third six nation player awardengland say felix ireland cap part six nation titlewinning squad join head coach steve borthwicks team world cup finish late octobererasmus added saddened decision know difficult make call fully understand reason he asset springbok last year way evolved role willingly took additional responsibility ensure team functioned optimally possible area expertise admirable know felix remain fully committed springbok cause give everything attempt defend world cup title france hopefully make special memorable sendoff later yearjones also played leinster munster forced retire age neck injuryhe went straight coaching staff munster worked erasmus seasonafter helping munster three consecutive european champion cup semifinal helped south africa win world cup british irish lion series two year later
sports,premier league tightens ownership rule stop human right abuser running clublast updated march march section premier leaguethe premier league new owner director test rule unanimously approved shareholder meeting thursdaythe premier league tightened ownership rule block anyone found committed human right abuse running clubhuman right abuse determined uk global human right sanction regulation new disqualifying event english topflights owner director testindividuals subject uk government sanction also bannedthe change test applied immediatelythe premier league also amended list criminal offence would result disqualification including involve violence corruption fraud tax evasion hate crimesit also new power stop wishing become director club investigation conduct would result disqualifying event provenhuman right group amnesty international said move step right direction warned premier league still risked becoming sportswashing toy rule properly implementedconservative mp tracey crouch uk sport minister said change smoke mirrorsenglish football new regulator cant sledgehammerpremier league reviewing ownership testthe sport desk podcast battle football futurethe new rule unanimously approved shareholder meeting thursday come force time ownership number premier league club scrutinyqatari banker sheikh jassim among bidder manchester united prospect qatari investment premier league club raised concern among human right lgbtq groupsthe nation treatment migrant worker criticised homosexual act illegal qatar punishment include fine prison sentence seven year even death stoning however bbc sport understands jassim believe strengthened owner director test impact offer buy time english champion made bid private individualmanchester united premier league club owe almost £bn reveal new figuresearlier month amnesty said premier league need reexamine assurance given potential saudi state control newcastle unitednewcastles takeover saudi arabia public investment fund pif approved premier league received legally binding assurance saudi government would control clubpremier league chief executive richard master told committee mp tuesday could comment whether organisation investigating control newcastle whether reexamining approval club saudi takeoverlast year russian businessman roman abramovich sold chelsea sanctioned uk alleged tie russian president vladimir putin deniedintroducing stringent owner director test among power held english football new independent regulator confirmed government white paper last monththe global human right sanction regulation already law land nothing new said crouch response premier league announcementimprovement always welcome still dont go far white paperamnesty uk economic affair director peter frankental added itll make little difference unless powerful individual linked serious human right violation overseas definitively barred taking control premier league club using state sportswashingwould instance future bid involving saudi qatari sovereign wealth fund blocked rule change far clear wouldour coverage premier league club bigger better ever follow team sign notification bbc sport app make sure never miss moment
business,happening house price could crashpublished hour agoshareclose panelshare pagecopy linkabout sharingby robert cuffe christine jeavansbbc data journalism teamhouse price fallen recent month rising interest rate made mortgage expensive high inflation reduced people spending power mortgage interest rate may stabilising might affect house price happening house price around ukprices rose steeply across uk start autumn fallen peak according march figure nationwide building society figure take seasonal peak trough account show largest fall scotland smallest west midland device may support visualisation recent change build different pattern growth last year northern ireland house price still returned level seen global financial crisisin contrast london south east saw price recover quickly saw le growth raceforspace period pandemic saw many people relocate cheaper area device may support visualisation happens house price fallthe biggest immediate effect people want movesome seller may delay putting home market homeowner considering moving may find le money spend image source getty imagesasking price fallen far enough balance increased cost interest rate firsttime buyer unlikely find buying house affordable short term longer run wage increase faster house price recover housing become affordable longer term trend also depend whether housebuilding keep demand happened government housebuilding target house price crashthe uk largest lender lloyd planning fall march office budget responsibility obr advises government health economy predicted house price drop next two yearsthat would half size fall seen financial crisis put price back autumn prediction uncertaininterest rate may stabilise rate offered fixedrate mortgage deal come peak expert hope rate set cost tracker variable rate mortgage may also close top high could interest rate go price rising muchbut interest rate still higher year ago affected marketa small uptick number new mortgage february undo sharp fall seen end household come fixedprice mortgage month hit new higher ratessome homeowner may find new monthly payment unaffordable making likely sell possibly pushing price modern browser javascript stable internet connection required view interactive much could mortgage go much borrowing existing mortgage enter outstanding balance left pay enter total looking borrow £ long take pay back existing mortgage enter total number year remaining enter total number year looking borrow year current mortgage enter rate current fixed term without mortgage enter interest rate another source bank mortgage rate calculator interest rate monthly payment interest rate choose interest rate compare with… rate payment could change by… monthly change monthly total information provided monthly payment would sufficient pay mortgage within number year given calculator constitute financial advice based standard mortgage repayment formula based mortgage size length fixed interest rate used guide represent suitability eligibility availability mortgage offer user exact figure user need approach official mortgage lender interest rate fluctuate based bank england base rate market condition people struggling pay mortgagethe financial conduct authority belief potentially financially stretching mortgage london south east rest countryloans south tend high compared borrower income make loan difficult repay mortgage rate rise inflation bite analysis one way look potential area weakness market doesnt guarantee people area fall behind mortgage payment borrower recent year ability pay checked higher interest rate one currently seeing lending rule tightened crash help ensure people better prepared difficult economic climate happens cant afford pay mortgagefortunately number people behind mortgage rise significantly still half level number repossession also le tenth seen year crash amount people spend mortgage also depends wider costofliving pressure energy bill wage job securityand factor change significantly future house price depends economy whole picture also uncertain data visualisation rob england jana tauschinski additional reporting jack rodgers helena rosieckarelated topicspersonal financehousing marketcost livinguk economymortgages
business,india middle class hit rising cost livingpublished december shareclose panelshare pagecopy linkabout sharingimage source getty imagesimage caption rapid rise price food fuel india hitting household budgetsby archana shuklabbc business correspondentwe really surviving day day basis salary expense least doublea steep rise price essential already drain santa landlord raised monthly rent nearly twothirds june direct hit santa yearold social worker teacher husband live tech city bengaluru provide respective family managing expense santa sole provider five member family two job order earn extra moneytheir landlord raised rent rupee £ r one go compensate put pandemic santa say bad timing price perishable food almost doubled past year rapid rate price risen especially food fuel eating household budget even though retail inflation eased threemonth low october thats brought little relief image source getty imagesimage caption consumer good sale hit record high diwali cheaper product didnt sell wellnow family whose monthly income r rework expense mean cutting frill even essential parent love tea last one year must milk tea buy dry grocery limited quantity much need daily expense fresh milk vegetable meat unmanageableas social worker santa job requires travel across city bus fare risen significantly daily bus pas used cost r earlier cost nearly rsthe pandemic already drained resource santa family leaving limited disposable income saving left even pawned gold jewellery last year father hospitalisedcovid followed russiaukraine war supply chain disruption made everything expensive burdened dual blow perceptible change consumption pattern india particularly among middle lower income family dichotomy india economic recovery apparent image source getty imagesimage caption internet sale strong festival season september octobera look buoyant stock market big company strong quarterly profit statement show shiny growth story closer look reveals widening economic disparity consumer good company seen drop sale entrylevel value product footwear mobile phone biscuit expensive brand however performed better mass market product even festival season september october consumer good sale record high essential highend product best sale entrylevel product across category saw near decline compared last year ecommerce india saw strong festive season september october sale nearly rsbn according report market intelligence firm redseer finer print show average spend per customer stayed subduedafter two year covid lockdown quieter festivity indian geared celebrate festival light full fervour street lit people decorated house electric light earthen lamp seems celebration many household differed previous yearsconsumers indulge despite rapid rise price everyone joined choosythe impact pronounced rural semiurban india home half country huge middle classimage source sarikaimage caption sarikas food bill almost doubled past yearsarika yearold housewife one chose recycle old dress big annual festival diwali october tradition buy new clothes festival sarika say family making cut almost everything clothes sweet even basic foodstuffsher monthly food bill almost doubled past year edible oil wheat cereal vegetable become costlier family expense almost doubled last one year afford buy new clothes everyone whats rising sarikas family income husband watch shop seeing fewer customer hold old watch longer shift online sale family farm suffered crop loss due unseasonal rainfall prioritise daily need paying school college fee three child necessity sayssarika say excitement surrounding festival already low son didnt travel pune km mile mumbai diwali bus fare almost doubled saved money pay hostel bill monthit hurt even enjoy small pleasure life enough moneyas rising cost living continues bite relief sight family making hard decision future santa husband married three year planning buy house bengaluru start family plan shelved struggling raise child conditionrelated topicscost livingindia
business,bank england heightened alert banking turmoilpublished day agoshareclose panelshare pagecopy linkabout sharingimage source getty imagesthe bank england heightened alert turmoil banking sector governor saidhowever andrew bailey told mp recent problem facing lender caused stress uk banking systemofficials tried calm investor since silicon valley bank signature bank failed sparking concern stability lendersin europe worry strength swiss banking giant credit suisse led rushed takeover rival ubsnerves among investor sparked sharp fall banking share around world mr bailey told mp treasury committee bank england would go vigilanthe said period heightened frankly tension alertnessthe collapse silicon valley bank svb biggest u banking failure since financial crisis left depositor struggling get money outthe collapse linked recent rise interest rate hit value svbs asset u regulator step protect customer lender uk arm rescued hsbcfailed lender silicon valley bank bought rivalbank share hit investor nerve returnthe episode generated heated debate u whether svb subject appropriate supervision official responded properly collapseat hearing washington tuesday financial regulator called failure textbook case mismanagement casting blame svb leader failing adjust strategy interest rate rose last year despite warning official faced question senator said episode also revealed failure oversightit look like regulator knew problem nobody dropped hammer said senator jon tester democrat montanauk banking official admitted mp speed svbs collapse taken surprise may mean banking rule may need updatingmr bailey said fastest collapse health death since uk baring bank failed suffering heavy loss resulting fraudulent investmentssam wood chief executive prudential regulation authority noted svb uk saw third deposit £bn withdrawn one dayhe twice suggested mp stress test applied uk bank make sure withstand crisis would need looked given new technology meant deposit could withdrawn electronically secondshowever mr bailey told mp think uk position similar global financial crisis bank stopped lending plunging world deep recessionhe added rising interest rate issue u bank le likely affect uk lender regulated differentlyin u head federal deposit insurance corp michael gruenberg said svb saga shown increased risk bank run time money flow institution incredible speed response news amplified social medium channel regulator u expressed support strengthening banking rule change politician elizabeth warren championedbut stricter regulation opposed republican reducing chance happening related topicshsbcuk economybank englandandrew baileybankingmore storyfailed lender silicon valley bank bought rival day agobank share hit investor nerve return day agouk banking system safe credit suisse rescue marchcentral bank rush keep cash flowing march
technology,elon musk among expert urging halt ai trainingpublished hour agocommentscommentsshareclose panelshare pagecopy linkabout sharingimage source afpimage caption elon musk among warning risk advanced aiby chris vallancetechnology reporterkey figure artificial intelligence want training powerful ai system suspended amid fear threat humanitythey signed open letter warning potential risk say race develop ai system controltwitter chief elon musk among want training ai certain capacity halted least six monthsapple cofounder steve wozniak researcher deepmind also signedopenai company behind chatgpt recently released gpt stateoftheart technology impressed observer ability task answering question object imagesthe letter future life institute signed luminary want development halted temporarily level warning letter risk future advanced system might poseai system humancompetitive intelligence pose profound risk society humanity saysthe future life institute notforprofit organisation say mission steer transformative technology away extreme largescale risk towards benefiting life video playedto play video need enable javascript browsermedia caption watch artificial intelligencemr musk owner twitter chief executive car company tesla listed external adviser organisationadvanced ai need developed care letter say instead recent month seen ai lab locked outofcontrol race develop deploy ever powerful digital mind noone even creator understand predict reliably controlthe letter warns ai could flood information channel misinformation replace job automationis world prepared coming ai stormthe letter follows recent report investment bank goldman sachs said ai likely increase productivity million job could become automatedhowever expert told bbc effect ai labour market hard predict outsmarted obsoletemore speculatively letter asks develop nonhuman mind might eventually outnumber outsmart obsolete sic replace usstuart russell computerscience professor university california berkeley signatory letter told bbc news ai system pose significant risk democracy weaponised disinformation employment displacement human skill education plagiarism demotivationand future advanced ai may pose general threat human control civilization long run taking sensible precaution small price pay mitigate risk prof russell addedbut princeton computerscience professor arvind narayanan accused letter focusing speculative futuristic risk ignoring version problem already harming peopleslow downin recent blog post quoted letter openai warned risk artificial general intelligence agi developed recklessly misaligned superintelligent agi could cause grievous harm world autocratic regime decisive superintelligence lead could toocoordination among agi effort slow critical juncture likely important firm wroteopenai publicly commented letter bbc asked firm whether back callmr musk cofounder openai though resigned board organisation year ago tweeted critically current direction autonomous driving function made car company tesla like similar system use ai technologythe letter asks ai lab immediately pause least six month training ai system powerful gptif delay enacted quickly government step institute moratorium saysnew capable regulatory authority dedicated ai would also needed recently number proposal regulation technology put forward u uk eu however uk ruled dedicated regulator airelated topicselon muskartificial intelligencemore storyuk rule new ai regulator day agoai could affect million job report day agobill gate ai important tech advance decade marchis world prepared coming ai storm marchview comment
technology,elon musk twitter bos announces blue tick shakeuppublished day agocommentscommentsshareclose panelshare pagecopy linkabout sharingimage source getty imagesannabelle liangbusiness reportertwitter bos elon musk announced shakeup social medium platform paid twitter blue featurefrom april verified subscriber post recommended user allowed vote pollsunder policy post nonpaying account included stream recommended tweetslast week firm said would remove verified status legacy account date mr musk bought firmusers currently pay £ month bluetick verification also allows access additional featuresmr musk said change realistic way address advanced ai bot swarm taking otherwise hopeless losing battlevoting poll require verification reason addedin earlier post mr musk said paid verification significantly increase cost using bot make easier identify themskip twitter post elon muskallow twitter contentthis article contains content provided twitter ask permission anything loaded may using cooky technology may want read twitter ’ cookie policy external privacy policy external accepting view content choose ‘ accept continue ’ accept continuethe bbc responsible content external sitesend twitter post elon muskhowever move criticised social medium usersa former worker twitter verification team asked remain anonymous told bbc number one goal team protect user real world harm scream complete opposite meverified user use power presence platform influence anything misinformation actual harm user around world silent threat one seeing addedwhen elon musk took twitter full lofty ambition bringing back free speech wanted platform maximally trusted said isnt way make moneyyet twitter policy feel different idealsrealising difficult increase advertising revenue musk turned subscription based modelthe sell initially give user blue tick verification paid monthly feebut paying user didnt come drove stuck flagging advertising revenue stuttering subscription model musk decided take nuclear optionthere two algorithm twitter stream recommended tweet stream tweet people followelon musk new policy essentially preclude nonpaying user taking part one streamsit mean unverified twitter user far le likely tweet liked retweetedcombined elon musk winding misinformation check could extremely dangerous moment twitterive spoken former employee think could manna heaven troll people pushing misinformationit also raise existential question twitter supposed fairly meritocratic place tweet rising quality contentit big part twitter success appears swept awaytwitter blue chaotic initial launch november people started impersonating big brand celebrity paying blue tick badge order make look authentic many pretended mr musk himselfthis forced twitter pause feature le week relaunched following monthtwitter blue since used controversial group including taliban official prominent supporter afghanistanverified user tweet amplified account subscriber also access additional feature including edit button among perkspreviously blue tick used indicate highprofile account authentic given twitter without subscription fee firm decided got onelast week twitter said would also start phasing legacy verified programme remove legacy verified checkmarks aprilthe firm added user needed pay keep blue checkmark twitterbots social medium platform hurt ability grow advertising revenue paidfor subscriptionsmr musk often expressed concern many fake spam account twitter one point put bn plan buy social medium platform hold queried number bot disclosed firm previous management teamrelated topicssocial mediaelon musktwittermore storytwitter say part source code leaked online day agometa exploring plan twitter rival marchmusk apologises twitter worker online row marchtaliban start buying blue tick twitter januaryview comment
technology,fun apps banned french official phonespublished day agoshareclose panelshare pagecopy linkabout sharingimage source getty imagesby shiona mccallumtechnology reportergovernments institution around world banning tiktok official phone device past monthsthe netherlands norway joined list country banning videosharing app owned chinese company bytedance governmentissued devicesand despite tiktoks insistence independently run share user data chinese government france become latest country restrict official access time also become first country recreational apps includingnetflixinstagramcandy crushtwitterthe ban monitored france cybersecurity agency affect million civil servantsrecreational application deliver sufficient level cybersecurity data protection deployed administration digital tool civil service minister stanislas guerini saidthese application may therefore constitute risk data protection administration public official although exception could granted institutional communication purposesso look like france unlike rest west viewing chinese american technology company similar way although first instance technology tension u francein france approved digitalservices tax despite threat retaliation u argued unfairly targeted american technology giant google facebookand since france vocally opposed u cloud act give american lawenforcement authority power request data stored major cloud provider even outside usfrance prominent voice gaiax project set toaddress conflict u cloud act eu general data protection regulation gdprset european cloud standard ensure customer data stored processed europe immune noneuropean lawsday day government public body banning tiktok staff device france decision clamp recreational apps stand praised privacy campaignersfears tiktok reached fever pitch alongside furore people beginning question privacy practice apps regardless company based feel like moment privacy campaigner waiting forquestions asked data collected used like facebook instagram snapchat even candy crushthe political focus currently tiktok parent company china french government clearly saying socialmedia company question answerrelated topicsfrench politicstiktokfrancechinaappsmore storywhat could tiktok ban mean creator marchfive takeaway tiktok ceo congress grilling day agohow tiktok ban would wouldnt work practice march
technology,google face new multibillion advertising lawsuitpublished hour agoshareclose panelshare pagecopy linkabout sharingimage source afpby chris vallancetechnology reportera lawsuit filed google seek £bn bn compensation publisher lost revenuethe claim exguardian technology editor charles arthur alleges google unlawfully used dominant position online advert way reduced publisher could make themgoogle said would fight speculative opportunistic action vigorouslyit second lawsuit similar case launched novemberthat brought former ofcom director claudio pollack looking £bn damage tech giantthe case concern advertising technology adtech decides fraction second online advert consumer see much cost much publisher earnonline display advertising main source income many websitesgoogle face €bn legal action uk euthe uk competition regulator competition market authority cma also investigating google dominance advertising technology lawsuit filed thursday mr arthur claim google abuse position price adtech service inflated ad sale revenue publisher unlawfully reduced cma currently investigating google anticompetitive conduct adtech dont power make google compensate lost right wrong court bringing claim wrotecollective claimsboth legal claim ask court competition appeal tribunal certify claim optout meaning every relevant publisher would automatically included case unless choose otherwisethese collective claim often referred class action united state became possible uk brought behalf whole group class damage largeunless mr arthur mr pollack agree collaborate tribunal decide one lead collective claimmany competitorsgoogle told bbc advertising tool many adtech competitor help million website apps fund content enable business size effectively reach new customersalthough cma found google owned largest provider three key area adtech firm maintains many competitor also say adtech fee lower match industry averagesbut case launched january u justice department accused google industry behemoth corrupted legitimate competition adtech industry engaging systematic campaign seize control wide swath hightech tool used publisherson tuesday google asked court dismiss case arguing u government overstated hold market french competition regulator autorité de la concurrence fined google €m favouring service online advertising sector related topicscompetition market authoritygoogleadvertisingmore storyus accuses google driving ad rival januarygoogle probed competition watchdog may
